object_id,period,score
615,0.324499176586,0.954845309105
1227,0.242728307274,0.0996537287564
1926,0.120052053397,0.227939953462
2624,0.994655879338,0.037681503448
2677,0.831099121161,0.206933816961
4171,0.166502232971,0.34824825128
6266,0.490932279424,0.121250659663
7566,0.213805116791,0.273348439964
7756,0.179930052832,0.18254449723
8688,0.174644512377,0.0489585058014
8784,0.561252115799,0.804860609414
9006,1.05347403664,0.136853149732
9172,0.997378422552,0.2210521931
9543,0.931992256464,0.207092672908
9985,0.105928279923,0.0295528655672
10349,0.373564554174,0.0648568773752
10796,0.99469596142,0.0810522179632
11165,0.209599831279,0.992895139829
11931,0.518394971987,0.158715216886
12695,0.625895768458,0.738710295265
12872,0.409225178785,0.0978854379107
14080,0.994718559233,0.257079017302
14156,0.499272289967,0.110707089964
15475,0.271205017151,0.0285251591371
15626,0.183876687717,0.0853433460485
15700,0.130307776042,0.527061041365
16339,0.129448554488,0.065266060216
16349,2.2102314778,0.256349416222
17094,0.210953574451,0.143213821619
17172,0.123916783015,0.0653255009386
18556,0.998623301418,0.589642609596
22574,2.20980858246,0.399837860894
23795,0.188501792984,0.241826146333
24236,0.501356273283,0.164150606932
24849,0.51611220577,0.224556010921
24903,0.244587618096,0.117299840842
25920,0.721663604145,0.580344647133
26161,0.557704903339,0.779380504927
26352,1.03513316955,0.0306534564442
26401,0.382848283924,0.562350959937
26660,0.330489817255,0.0445375783612
26783,0.699053724963,0.775566663668
27124,0.561249151766,0.666996116069
28391,0.613198641659,0.816618446851
28915,0.662314655513,0.506238090078
30066,0.760993532763,0.106988678517
30505,0.20959952286,0.97976790336
30576,0.10960495646,0.129566917564
30673,0.146301018712,0.142234437518
30895,0.163113606978,0.0489300952383
31033,0.509307755005,0.0775967594303
31310,0.387900952813,0.966988011457
31605,0.103696609752,0.103924895236
32238,0.372173343596,0.287167399472
32375,0.137649147959,0.0747340262339
33409,0.994332154573,0.117453573899
35555,0.997081772277,0.243697051257
36337,0.499332793296,0.150432013738
36362,0.251601015697,0.118853757923
36671,0.142573097698,0.148673286285
37168,0.123020072683,0.119194042746
37776,0.171373063938,0.16793579866
38244,0.103803419099,0.128798950178
38730,0.171449861464,0.164145594254
39223,0.158739650682,0.178105723344
